date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,,,,,,,,,,0.0080667616
07/03/1963,,,,,,,,,,0.0063781276
07/05/1963,,,,,,,,,,0.0041359155
07/08/1963,,,,,,,,,,-0.006147382
07/09/1963,,,,,,,,,,0.0046270374
07/10/1963,,,,,,,,,,-0.001687776
07/11/1963,,,,,,,,,,-0.001516243
07/12/1963,,,,,,,,,,-0.001048804
07/15/1963,,,,,,,,,,-0.006116256
07/16/1963,,,,,,,,,,-0.000579024
07/17/1963,,,,,,,,,,-0.003162882
07/18/1963,,,,,,,,,,-0.005275128
07/19/1963,,,,,,,,,,-0.002131725
07/22/1963,,,,,,,,,,-0.006861365
07/23/1963,,,,,,,,,,0.0001879634
07/24/1963,,,,,,,,,,0.0047257766
07/25/1963,,,,,,,,,,-0.000284257
07/26/1963,,,,,,,,,,0.0036599146
07/29/1963,,,,,,,,,,0.0012189359
07/30/1963,,,,,,,,,,0.0085343016
07/31/1963,,,,,,,,,,-0.001201874
08/01/1963,,,,,,,,,,-0.000665105
08/02/1963,,,,,,,,,,0.0030338526
08/05/1963,,,,,,,,,,0.0058115276
08/06/1963,,,,,,,,,,0.0060706284
08/07/1963,,,,,,,,,,-0.001765268
08/08/1963,,,,,,,,,,0.0015384593
08/09/1963,,,,,,,,,,0.0061101378
08/12/1963,,,,,,,,,,0.0025216595
08/13/1963,,,,,,,,,,0.0028042558
08/14/1963,,,,,,,,,,0.0031034849
08/15/1963,,,,,,,,,,0.0044111942
08/16/1963,,,,,,,,,,0.0016241567
08/19/1963,,,,,,,,,,-0.000375163
08/20/1963,,,,,,,,,,-0.000409774
08/21/1963,,,,,,,,,,-0.000993566
08/22/1963,,,,,,,,,,0.0039601324
08/23/1963,,,,,,,,,,0.0034742456
08/26/1963,,,,,,,,,,0.0019326824
08/27/1963,,,,,,,,,,-0.004266884
08/28/1963,,,,,,,,,,0.0077906733
08/29/1963,,,,,,,,,,0.0018994389
08/30/1963,,,,,,,,,,0.0045167235
09/03/1963,,,,,,,,,,0.0024136609
09/04/1963,,,,,,,,,,0.0000716724
09/05/1963,,,,,,,,,,0.0049235359
09/06/1963,,,,,,,,,,-0.00259793
09/09/1963,,,,,,,,,,-0.003476471
09/10/1963,,,,,,,,,,0.0053007988
09/11/1963,,,,,,,,,,0.0025849913
09/12/1963,,,,,,,,,,-0.00076045
09/13/1963,,,,,,,,,,0.000384144
09/16/1963,,,,,,,,,,-0.001424439
09/17/1963,,,,,,,,,,0.0004775388
09/18/1963,,,,,,,,,,-0.00414476
09/19/1963,,,,,,,,,,0.0053862909
09/20/1963,,,,,,,,,,0.0005370607
09/23/1963,,,,,,,,,,-0.004825023
09/24/1963,,,,,,,,,,0.0036430328
09/25/1963,,,,,,,,,,-0.005629905
09/26/1963,,,,,,,,,,-0.007991997
09/27/1963,,,,,,,,,,-0.001713036
09/30/1963,,,,,,,,,,-0.00588795
10/01/1963,,,,,,,,,,0.0066272661
10/02/1963,,,,,,,,,,0.0011754751
10/03/1963,,,,,,,,,,0.0067763466
10/04/1963,,,,,,,,,,0.0001827269
10/07/1963,,,,,,,,,,-0.00213641
10/08/1963,,,,,,,,,,-0.001248638
10/09/1963,,,,,,,,,,-0.005947019
10/10/1963,,,,,,,,,,0.0009447023
10/11/1963,,,,,,,,,,0.001432698
10/14/1963,,,,,,,,,,0.0006155203
10/15/1963,,,,,,,,,,0.0017653727
10/16/1963,,,,,,,,,,0.0090177859
10/17/1963,,,,,,,,,,0.0015718403
10/18/1963,,,,,,,,,,0.0010155168
10/21/1963,,,,,,,,,,0.0004918007
10/22/1963,,,,,,,,,,-0.00530486
10/23/1963,,,,,,,,,,0.0004624512
10/24/1963,,,,,,,,,,0.0036187979
10/25/1963,,,,,,,,,,0.0086258228
10/28/1963,,,,,,,,,,0.0042889151
10/29/1963,,,,,,,,,,-0.000207815
10/30/1963,,,,,,,,,,-0.00776759
10/31/1963,,,,,,,,,,0.0022606735
11/01/1963,,,,,,,,,,-0.001640158
11/04/1963,,,,,,,,,,-0.004131053
11/06/1963,,,,,,,,,,-0.007509394
11/07/1963,,,,,,,,,,0.0034086179
11/08/1963,,,,,,,,,,0.005568586
11/11/1963,,,,,,,,,,0.0021056859
11/12/1963,,,,,,,,,,-0.003547962
11/13/1963,,,,,,,,,,0.0006849749
11/14/1963,,,,,,,,,,-0.003932048
11/15/1963,,,,,,,,,,-0.007393126
11/18/1963,,,,,,,,,,-0.00719018
11/19/1963,,,,,,,,,,0.0011639949
11/20/1963,,,,,,,,,,0.0077929178
11/21/1963,,,,,,,,,,-0.012305905
11/22/1963,,,,,,,,,,-0.028697018
11/26/1963,,,,,,,,,,0.0394717825
11/27/1963,,,,,,,,,,-0.001499331
11/29/1963,,,,,,,,,,0.0135308456
12/02/1963,,,,,,,,,,0.0054514329
12/03/1963,,,,,,,,,,-0.000374865
12/04/1963,,,,,,,,,,0.0026488786
12/05/1963,,,,,,,,,,0.005831351
12/06/1963,,,,,,,,,,-0.003023828
12/09/1963,,,,,,,,,,-0.000895888
12/10/1963,,,,,,,,,,0.0008146794
12/11/1963,,,,,,,,,,-0.001232329
12/12/1963,,,,,,,,,,-0.000186905
12/13/1963,,,,,,,,,,0.0016992449
12/16/1963,,,,,,,,,,0.0026467734
12/17/1963,,,,,,,,,,0.0045962035
12/18/1963,,,,,,,,,,-0.001672597
12/19/1963,,,,,,,,,,-0.003192306
12/20/1963,,,,,,,,,,-0.00183778
12/23/1963,,,,,,,,,,-0.005821109
12/24/1963,,,,,,,,,,0.0024296923
12/26/1963,,,,,,,,,,0.00486984
12/27/1963,,,,,,,,,,0.0017182964
12/30/1963,,,,,,,,,,0.0011345846
12/31/1963,,,,,,,,,,0.0057342349
01/02/1964,,,,,,,,,,0.0060752987
01/03/1964,,,,,,,,,,0.0019257664
01/06/1964,,,,,,,,,,0.0024622154
01/07/1964,,,,,,,,,,0.0007438961
01/08/1964,,,,,,,,,,0.0034967442
01/09/1964,,,,,,,,,,0.0031315053
01/10/1964,,,,,,,,,,-0.000363078
01/13/1964,,,,,,,,,,-0.000813349
01/14/1964,,,,,,,,,,0.0018636383
01/15/1964,,,,,,,,,,0.0025934445
01/16/1964,,,,,,,,,,-0.00081469
01/17/1964,,,,,,,,,,-0.000052751
01/20/1964,,,,,,,,,,-0.001901154
01/21/1964,,,,,,,,,,0.002744981
01/22/1964,,,,,,,,,,0.0048834126
